Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,2093.9045255184174
Projectnb w cache & 1 worker,30,2260.903352022171
Projectnb w cache & 1 worker,40,2141.4580795764923
Projectnb w cache & 1 worker,50,2294.6508569717407
Projectnb w cache & 1 worker,60,2713.962034702301
ENGNAS w cache & 1 worker,20,3356.453133583069
ENGNAS w cache & 1 worker,30,2861.8367264270782
ENGNAS w cache & 1 worker,40,2682.5624277591705
ENGNAS w cache & 1 worker,50,2907.8914194107056
ENGNAS w cache & 1 worker,60,3384.323611497879
Projectnb w/o cache & 1 worker,20,2397.886336326599
Projectnb w/o cache & 1 worker,30,2386.4021186828613
Projectnb w/o cache & 1 worker,40,2277.1128754615784
Projectnb w/o cache & 1 worker,50,2361.446354150772
Projectnb w/o cache & 1 worker,60,2908.7080540657043
Projectnb w/o cache & 4 workers,20,1100.35995554924
Projectnb w/o cache & 4 workers,30,1442.3840355873108
Projectnb w/o cache & 4 workers,40,1834.6277222633362
Projectnb w/o cache & 4 workers,50,2299.7497589588165
Projectnb w/o cache & 4 workers,60,2698.7044200897217
ENGNAS w/o cache & 1 worker,20,6532.291191577911
ENGNAS w/o cache & 1 worker,30,6468.713753700256
ENGNAS w/o cache & 1 worker,40,6749.042738676071
ENGNAS w/o cache & 1 worker,50,6637.004142284393
ENGNAS w/o cache & 1 worker,60,5928.894721746445
ENGNAS w/o cache & 4 workers,20,1325.8967027664185
ENGNAS w/o cache & 4 workers,30,1489.3612761497498
ENGNAS w/o cache & 4 workers,40,1908.246090888977
ENGNAS w/o cache & 4 workers,50,2308.758607149124
ENGNAS w/o cache & 4 workers,60,2741.6894087791443
