Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,258.26014971733093
Projectnb w cache & 1 worker,30,230.36887669563293
Projectnb w cache & 1 worker,40,247.04014611244202
Projectnb w cache & 1 worker,50,275.11566138267517
Projectnb w cache & 1 worker,60,324.2896900177002
ENGNAS w cache & 1 worker,20,277.0289635658264
ENGNAS w cache & 1 worker,30,233.92598700523376
ENGNAS w cache & 1 worker,40,248.52206182479858
ENGNAS w cache & 1 worker,50,274.91351532936096
ENGNAS w cache & 1 worker,60,317.29936265945435
Projectnb w/o cache & 1 worker,20,235.7539780139923
Projectnb w/o cache & 1 worker,30,250.1670970916748
Projectnb w/o cache & 1 worker,40,266.73611402511597
Projectnb w/o cache & 1 worker,50,284.6437256336212
Projectnb w/o cache & 1 worker,60,322.2974443435669
Projectnb w/o cache & 4 workers,20,155.72692918777466
Projectnb w/o cache & 4 workers,30,201.21009373664856
Projectnb w/o cache & 4 workers,40,242.26874017715454
Projectnb w/o cache & 4 workers,50,275.83798480033875
Projectnb w/o cache & 4 workers,60,327.65747117996216
ENGNAS w/o cache & 1 worker,20,463.88247442245483
ENGNAS w/o cache & 1 worker,30,480.9934663772583
ENGNAS w/o cache & 1 worker,40,484.1196722984314
ENGNAS w/o cache & 1 worker,50,568.7497777938843
ENGNAS w/o cache & 1 worker,60,573.8128893375397
ENGNAS w/o cache & 4 workers,20,207.65297842025757
ENGNAS w/o cache & 4 workers,30,256.2478108406067
ENGNAS w/o cache & 4 workers,40,292.720089673996
ENGNAS w/o cache & 4 workers,50,337.6861252784729
ENGNAS w/o cache & 4 workers,60,382.2813045978546
