Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,2228.8928661346436
Projectnb w cache & 1 worker,30,2403.6314022541046
Projectnb w cache & 1 worker,40,2158.4564616680145
Projectnb w cache & 1 worker,50,2582.0698640346527
Projectnb w cache & 1 worker,60,2834.8813107013702
ENGNAS w cache & 1 worker,20,2826.276395559311
ENGNAS w cache & 1 worker,30,2834.504235982895
ENGNAS w cache & 1 worker,40,2634.587419986725
ENGNAS w cache & 1 worker,50,2679.2608077526093
ENGNAS w cache & 1 worker,60,2861.8394663333893
Projectnb w/o cache & 1 worker,20,2666.3275604248047
Projectnb w/o cache & 1 worker,30,2431.220463991165
Projectnb w/o cache & 1 worker,40,2527.685833454132
Projectnb w/o cache & 1 worker,50,2635.2538709640503
Projectnb w/o cache & 1 worker,60,3357.486125230789
Projectnb w/o cache & 4 workers,20,758.665164232254
Projectnb w/o cache & 4 workers,30,733.7268483638763
Projectnb w/o cache & 4 workers,40,884.3567316532135
Projectnb w/o cache & 4 workers,50,991.4393811225891
Projectnb w/o cache & 4 workers,60,842.3648130893707
ENGNAS w/o cache & 1 worker,20,6637.561495780945
ENGNAS w/o cache & 1 worker,30,7535.49644446373
ENGNAS w/o cache & 1 worker,40,6797.76744890213
ENGNAS w/o cache & 1 worker,50,7237.917357683182
ENGNAS w/o cache & 1 worker,60,7100.593462228775
ENGNAS w/o cache & 4 workers,20,1350.0822114944458
ENGNAS w/o cache & 4 workers,30,1349.2121238708496
ENGNAS w/o cache & 4 workers,40,1414.2171657085419
ENGNAS w/o cache & 4 workers,50,1314.2462303638458
ENGNAS w/o cache & 4 workers,60,1378.734084367752
