Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,897.4925608634949
Projectnb w cache & 1 worker,30,1253.983610868454
Projectnb w cache & 1 worker,40,1688.8212242126465
Projectnb w cache & 1 worker,50,2034.5710752010345
Projectnb w cache & 1 worker,60,2460.113946199417
ENGNAS w cache & 1 worker,20,952.6407039165497
ENGNAS w cache & 1 worker,30,1322.5624656677246
ENGNAS w cache & 1 worker,40,1656.3872156143188
ENGNAS w cache & 1 worker,50,2092.9170818328857
ENGNAS w cache & 1 worker,60,2475.6450548171997
Projectnb w/o cache & 1 worker,20,844.9563989639282
Projectnb w/o cache & 1 worker,30,1270.956437587738
Projectnb w/o cache & 1 worker,40,1610.4367504119873
Projectnb w/o cache & 1 worker,50,2055.8992896080017
Projectnb w/o cache & 1 worker,60,2429.839366912842
Projectnb w/o cache & 4 workers,20,838.0351250171661
Projectnb w/o cache & 4 workers,30,1246.4876627922058
Projectnb w/o cache & 4 workers,40,1655.4414417743683
Projectnb w/o cache & 4 workers,50,2102.382925748825
Projectnb w/o cache & 4 workers,60,2467.684871673584
ENGNAS w/o cache & 1 worker,20,1348.934138059616
ENGNAS w/o cache & 1 worker,30,1357.4201128482819
ENGNAS w/o cache & 1 worker,40,1710.2450032234192
ENGNAS w/o cache & 1 worker,50,2079.99289226532
ENGNAS w/o cache & 1 worker,60,2468.2118170261383
ENGNAS w/o cache & 4 workers,20,856.8404500484467
ENGNAS w/o cache & 4 workers,30,1269.3038172721863
ENGNAS w/o cache & 4 workers,40,1690.689569234848
ENGNAS w/o cache & 4 workers,50,2101.966418504715
ENGNAS w/o cache & 4 workers,60,2478.821736097336
